Territorialidades,Índice de Theil-L 2010,Índice de Gini 2010,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Mortalidade até 5 anos de idade 2010,Probabilidade de sobrevivência até 40 anos 2010,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010,Probabilidade de sobrevivência até 60 anos 2010,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 2010,Taxa de fecundidade total 2010,Razão de dependência 2010,Taxa de envelhecimento 2010,Renda per capita 2010
Cabaceiras (PB),"0,41","0,46","70,54","25,8","27,8","94,02","0,611","0,574","0,759","0,523","82,75","0,653","0,336","1,86","56,03","10,86","283,93"
Cabedelo (PB),"0,94","0,7","74,31",16,"17,25","96,24","0,748","0,782","0,822","0,651","88,65","0,689","0,581","1,85","44,02","5,97","1036,21"
Cachoeira dos Índios (PB),"0,49","0,5","70,95","24,6","26,49","94,29","0,587","0,583","0,766","0,453","83,45","0,586","0,271","1,92","55,8","10,29","301,77"
Cacimba de Areia (PB),"0,48","0,49","71,25","23,7","25,58","94,48","0,596","0,553","0,771","0,497","83,94","0,615","0,324","1,82","49,58",9,"249,79"
Cacimba de Dentro (PB),"0,54","0,53","71,59","22,8","24,56","94,7","0,564","0,551","0,777","0,419","84,49","0,58","0,218","2,3","65,54","11,4","246,21"
Cacimbas (PB),"0,56","0,53","65,3",44,"47,45","90,03","0,523","0,501","0,672","0,425","73,36","0,573","0,234","2,92","79,55","7,82","181,17"
Caiçara (PB),"0,5","0,51","68,96","30,6","33,05","92,94","0,592","0,58","0,733","0,488","80,05","0,64","0,284","2,25","57,02","10,51","294,68"
Cajazeiras (PB),"0,58","0,56","73,87",17,"18,34","96,01","0,679","0,668","0,815","0,574","88,02","0,654","0,442","1,71","48,25","9,23","511,56"
Cajazeirinhas (PB),"0,45","0,5","71,35","23,4","25,3","94,54","0,55","0,521","0,773","0,413","84,09","0,548","0,234","1,92","55,06","8,44","205,12"
Caldas Brandão (PB),"0,42","0,47","68,39","32,5","35,09","92,52","0,568","0,562","0,723","0,451","79,05","0,576","0,276","2,16","54,82","9,62","264,06"
Camalaú (PB),"0,42","0,46","71,18","23,9","25,79","94,44","0,567","0,549","0,77","0,431","83,83","0,575","0,243","2,29","59,25","10,23","242,92"
Campina Grande (PB),"0,61","0,58","73,73","17,3","18,71","95,93","0,72","0,702","0,812","0,654","87,8","0,698","0,574","1,72","46,08","7,79","630,03"
Capim (PB),"0,46","0,48","68,69","31,5","34,02","92,74","0,533","0,52","0,728","0,4","79,57","0,528","0,23","2,92","62,87","6,57","203,67"
